Features,core,memory,node_type,config,gpu,partition,gpu_number
"avx512,physg5",72,710000,spartan-bm095,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm120,4:18:1,(null),physical,0
"avx512,physg4",72,1519000,spartan-bm060,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm003,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm012,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm029,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm001,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm002,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm004,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm005,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm006,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm007,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm008,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm009,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm010,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm011,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm013,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm014,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm015,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm016,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm017,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm018,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm019,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm020,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm021,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm022,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm023,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm024,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm025,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm026,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm027,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm028,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm039,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm040,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm041,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm042,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm043,4:18:1,(null),physical,0
"avx512,physg4",72,1519000,spartan-bm053,4:18:1,(null),physical,0
"avx512,physg4",72,1519000,spartan-bm054,4:18:1,(null),physical,0
"avx512,physg4",72,1519000,spartan-bm055,4:18:1,(null),physical,0
"avx512,physg4",72,1519000,spartan-bm056,4:18:1,(null),physical,0
"avx512,physg4",72,1519000,spartan-bm057,4:18:1,(null),physical,0
"avx512,physg4",72,1519000,spartan-bm058,4:18:1,(null),physical,0
"avx512,physg4",72,1519000,spartan-bm059,4:18:1,(null),physical,0
"avx512,physg4",72,1519000,spartan-bm061,4:18:1,(null),physical,0
"avx512,physg4",72,1519000,spartan-bm062,4:18:1,(null),physical,0
"avx512,physg4",72,1519000,spartan-bm063,4:18:1,(null),physical,0
"avx512,physg4",72,1519000,spartan-bm064,4:18:1,(null),physical,0
"avx512,physg4",72,1519000,spartan-bm065,4:18:1,(null),physical,0
"avx512,physg4",72,1519000,spartan-bm066,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm087,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm088,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm089,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm090,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm091,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm092,4:18:1,(null),physical,0
"avx512,physg5",72,710000,spartan-bm093,4:18:1,(null),physical,0
