run_id,treatment_id,algorithm,use_masking,seed,window_size,tail_size,split_id,model_path,trace_file,topology_file,node_file
ppo_001,ppo__mask_false,ppo,False,210169,512,64,physical_job_r70,trained_model/physical_job/210169/ppo/selector/3000000.zip,data/splits/physical_job_dev70.tsv,physical_topology.txt,nodes.csv
ppo_002,ppo__mask_false,ppo,False,16843,512,64,physical_job_r70,trained_model/physical_job/16843/ppo/selector/3000000.zip,data/splits/physical_job_dev70.tsv,physical_topology.txt,nodes.csv
dqn_001,dqn__mask_false,dqn,False,35474,512,64,physical_job_r70,trained_model/physical_job/35474/dqn/selector/3000000.zip,data/splits/physical_job_dev70.tsv,physical_topology.txt,nodes.csv
a2c_001,a2c__mask_false,a2c,False,21095,512,64,physical_job_r70,trained_model/physical_job/21095/a2c/selector/3000000.zip,data/splits/physical_job_dev70.tsv,physical_topology.txt,nodes.csv
maskable_dqn_001,maskable_dqn__mask_true,maskable_dqn,True,210169,512,64,physical_job_r70,trained_model/physical_job/210169/maskable_dqn/selector/3000000.zip,data/splits/physical_job_dev70.tsv,physical_topology.txt,nodes.csv
a2c_002,a2c__mask_false,a2c,False,20603,512,64,physical_job_r70,trained_model/physical_job/20603/a2c/selector/3000000.zip,data/splits/physical_job_dev70.tsv,physical_topology.txt,nodes.csv
dqn_002,dqn__mask_false,dqn,False,20603,512,64,physical_job_r70,trained_model/physical_job/20603/dqn/selector/3000000.zip,data/splits/physical_job_dev70.tsv,physical_topology.txt,nodes.csv
a2c_003,a2c__mask_false,a2c,False,45765,512,64,physical_job_r70,trained_model/physical_job/45765/a2c/selector/3000000.zip,data/splits/physical_job_dev70.tsv,physical_topology.txt,nodes.csv
maskable_dqn_002,maskable_dqn__mask_true,maskable_dqn,True,21095,512,64,physical_job_r70,trained_model/physical_job/21095/maskable_dqn/selector/3000000.zip,data/splits/physical_job_dev70.tsv,physical_topology.txt,nodes.csv
maskable_dqn_003,maskable_dqn__mask_true,maskable_dqn,True,35474,512,64,physical_job_r70,trained_model/physical_job/35474/maskable_dqn/selector/3000000.zip,data/splits/physical_job_dev70.tsv,physical_topology.txt,nodes.csv
a2c_004,a2c__mask_false,a2c,False,170797,512,64,physical_job_r70,trained_model/physical_job/170797/a2c/selector/3000000.zip,data/splits/physical_job_dev70.tsv,physical_topology.txt,nodes.csv
maskable_a2c_001,maskable_a2c__mask_true,maskable_a2c,True,16843,512,64,physical_job_r70,trained_model/physical_job/16843/maskable_a2c/selector/3000000.zip,data/splits/physical_job_dev70.tsv,physical_topology.txt,nodes.csv
ppo_003,ppo__mask_false,ppo,False,170797,512,64,physical_job_r70,trained_model/physical_job/170797/ppo/selector/3000000.zip,data/splits/physical_job_dev70.tsv,physical_topology.txt,nodes.csv
maskable_a2c_002,maskable_a2c__mask_true,maskable_a2c,True,57434,512,64,physical_job_r70,trained_model/physical_job/57434/maskable_a2c/selector/3000000.zip,data/splits/physical_job_dev70.tsv,physical_topology.txt,nodes.csv
maskable_ppo_001,maskable_ppo__mask_true,maskable_ppo,True,21385,512,64,physical_job_r70,trained_model/physical_job/21385/maskable_ppo/selector/3000000.zip,data/splits/physical_job_dev70.tsv,physical_topology.txt,nodes.csv
maskable_a2c_003,maskable_a2c__mask_true,maskable_a2c,True,170797,512,64,physical_job_r70,trained_model/physical_job/170797/maskable_a2c/selector/3000000.zip,data/splits/physical_job_dev70.tsv,physical_topology.txt,nodes.csv
dqn_003,dqn__mask_false,dqn,False,210169,512,64,physical_job_r70,trained_model/physical_job/210169/dqn/selector/3000000.zip,data/splits/physical_job_dev70.tsv,physical_topology.txt,nodes.csv
a2c_005,a2c__mask_false,a2c,False,16843,512,64,physical_job_r70,trained_model/physical_job/16843/a2c/selector/3000000.zip,data/splits/physical_job_dev70.tsv,physical_topology.txt,nodes.csv
dqn_004,dqn__mask_false,dqn,False,35474,512,64,physical_job_r70,trained_model/physical_job/35474/dqn/selector/3000000.zip,data/splits/physical_job_dev70.tsv,physical_topology.txt,nodes.csv
ppo_004,ppo__mask_false,ppo,False,250564,512,64,physical_job_r70,trained_model/physical_job/250564/ppo/selector/3000000.zip,data/splits/physical_job_dev70.tsv,physical_topology.txt,nodes.csv
a2c_006,a2c__mask_false,a2c,False,57434,512,64,physical_job_r70,trained_model/physical_job/57434/a2c/selector/3000000.zip,data/splits/physical_job_dev70.tsv,physical_topology.txt,nodes.csv
dqn_005,dqn__mask_false,dqn,False,45765,512,64,physical_job_r70,trained_model/physical_job/45765/dqn/selector/3000000.zip,data/splits/physical_job_dev70.tsv,physical_topology.txt,nodes.csv
dqn_006,dqn__mask_false,dqn,False,170797,512,64,physical_job_r70,trained_model/physical_job/170797/dqn/selector/3000000.zip,data/splits/physical_job_dev70.tsv,physical_topology.txt,nodes.csv
maskable_dqn_004,maskable_dqn__mask_true,maskable_dqn,True,16843,512,64,physical_job_r70,trained_model/physical_job/16843/maskable_dqn/selector/3000000.zip,data/splits/physical_job_dev70.tsv,physical_topology.txt,nodes.csv
maskable_dqn_005,maskable_dqn__mask_true,maskable_dqn,True,57434,512,64,physical_job_r70,trained_model/physical_job/57434/maskable_dqn/selector/3000000.zip,data/splits/physical_job_dev70.tsv,physical_topology.txt,nodes.csv
maskable_a2c_004,maskable_a2c__mask_true,maskable_a2c,True,21385,512,64,physical_job_r70,trained_model/physical_job/21385/maskable_a2c/selector/3000000.zip,data/splits/physical_job_dev70.tsv,physical_topology.txt,nodes.csv
maskable_ppo_002,maskable_ppo__mask_true,maskable_ppo,True,210169,512,64,physical_job_r70,trained_model/physical_job/210169/maskable_ppo/selector/3000000.zip,data/splits/physical_job_dev70.tsv,physical_topology.txt,nodes.csv
maskable_dqn_006,maskable_dqn__mask_true,maskable_dqn,True,250564,512,64,physical_job_r70,trained_model/physical_job/250564/maskable_dqn/selector/3000000.zip,data/splits/physical_job_dev70.tsv,physical_topology.txt,nodes.csv
